path,category,orientation,label,master_dimensions,prompt
public/assets/brand/ahm-logo-dark.svg,brand,vector,Logo dark,SVG,"Premium editorial industrial apparel photography for AHM International, an international apparel manufacturing and export company in Karachi, Pakistan. Authentic modern garment-production environment, realistic Pakistani workers where people appear, sophisticated natural lighting, subtle cinematic contrast, highly detailed fabric texture, realistic industrial equipment, premium commercial campaign photography, contemporary global sourcing-company aesthetic, no futuristic machinery, no text, no logos, no distorted anatomy, no staged corporate handshakes, no stock-photo look, consistent color grade across the full website asset library, photorealistic, extremely detailed. AHM International dark wordmark; clean geometric export-manufacturer identity; transparent background; vector-only."
public/assets/brand/ahm-logo-light.svg,brand,vector,Logo light,SVG,"Premium editorial industrial apparel photography for AHM International, an international apparel manufacturing and export company in Karachi, Pakistan. Authentic modern garment-production environment, realistic Pakistani workers where people appear, sophisticated natural lighting, subtle cinematic contrast, highly detailed fabric texture, realistic industrial equipment, premium commercial campaign photography, contemporary global sourcing-company aesthetic, no futuristic machinery, no text, no logos, no distorted anatomy, no staged corporate handshakes, no stock-photo look, consistent color grade across the full website asset library, photorealistic, extremely detailed. AHM International light wordmark; clean geometric export-manufacturer identity; transparent background; vector-only."
public/assets/brand/ahm-mark.svg,brand,vector,AHM mark,SVG,"Premium editorial industrial apparel photography for AHM International, an international apparel manufacturing and export company in Karachi, Pakistan. Authentic modern garment-production environment, realistic Pakistani workers where people appear, sophisticated natural lighting, subtle cinematic contrast, highly detailed fabric texture, realistic industrial equipment, premium commercial campaign photography, contemporary global sourcing-company aesthetic, no futuristic machinery, no text, no logos, no distorted anatomy, no staged corporate handshakes, no stock-photo look, consistent color grade across the full website asset library, photorealistic, extremely detailed. Minimal monogram mark based on AHM; geometric, industrial/editorial; vector-only; no gradients."
public/assets/brand/favicon.png,brand,square,Favicon,1024x1024,"Premium editorial industrial apparel photography for AHM International, an international apparel manufacturing and export company in Karachi, Pakistan. Authentic modern garment-production environment, realistic Pakistani workers where people appear, sophisticated natural lighting, subtle cinematic contrast, highly detailed fabric texture, realistic industrial equipment, premium commercial campaign photography, contemporary global sourcing-company aesthetic, no futuristic machinery, no text, no logos, no distorted anatomy, no staged corporate handshakes, no stock-photo look, consistent color grade across the full website asset library, photorealistic, extremely detailed. Minimal AHM monogram on dark graphite background; crisp edges; centered."
public/assets/hero/hero-sewing-01.webp,hero,landscape,Hero sewing,3840x2160,"Premium editorial industrial apparel photography for AHM International, an international apparel manufacturing and export company in Karachi, Pakistan. Authentic modern garment-production environment, realistic Pakistani workers where people appear, sophisticated natural lighting, subtle cinematic contrast, highly detailed fabric texture, realistic industrial equipment, premium commercial campaign photography, contemporary global sourcing-company aesthetic, no futuristic machinery, no text, no logos, no distorted anatomy, no staged corporate handshakes, no stock-photo look, consistent color grade across the full website asset library, photorealistic, extremely detailed. Close cinematic photograph of an industrial sewing machine stitching a premium charcoal workwear garment, operator hands guiding fabric naturally, visible seam construction, clean modern factory softly blurred, space on left for large website headline, shallow depth of field."
public/assets/hero/hero-fabric-01.webp,hero,landscape,Hero fabric,3840x2160,"Premium editorial industrial apparel photography for AHM International, an international apparel manufacturing and export company in Karachi, Pakistan. Authentic modern garment-production environment, realistic Pakistani workers where people appear, sophisticated natural lighting, subtle cinematic contrast, highly detailed fabric texture, realistic industrial equipment, premium commercial campaign photography, contemporary global sourcing-company aesthetic, no futuristic machinery, no text, no logos, no distorted anatomy, no staged corporate handshakes, no stock-photo look, consistent color grade across the full website asset library, photorealistic, extremely detailed. Extreme macro of premium charcoal textile folds, visible weave and tactile surface, dramatic soft side-lighting, elegant abstract composition, room for overlay text."
public/assets/hero/hero-production-01.webp,hero,landscape,Hero production,3840x2160,"Premium editorial industrial apparel photography for AHM International, an international apparel manufacturing and export company in Karachi, Pakistan. Authentic modern garment-production environment, realistic Pakistani workers where people appear, sophisticated natural lighting, subtle cinematic contrast, highly detailed fabric texture, realistic industrial equipment, premium commercial campaign photography, contemporary global sourcing-company aesthetic, no futuristic machinery, no text, no logos, no distorted anatomy, no staged corporate handshakes, no stock-photo look, consistent color grade across the full website asset library, photorealistic, extremely detailed. Wide authentic modern garment production floor in Karachi, organized sewing lines, natural Pakistani workforce, bright but sophisticated daylight, no posing, editorial documentary quality."
public/assets/hero/hero-video.webm,hero,video,Hero video,4K video,"Premium editorial industrial apparel photography for AHM International, an international apparel manufacturing and export company in Karachi, Pakistan. Authentic modern garment-production environment, realistic Pakistani workers where people appear, sophisticated natural lighting, subtle cinematic contrast, highly detailed fabric texture, realistic industrial equipment, premium commercial campaign photography, contemporary global sourcing-company aesthetic, no futuristic machinery, no text, no logos, no distorted anatomy, no staged corporate handshakes, no stock-photo look, consistent color grade across the full website asset library, photorealistic, extremely detailed. 6-10 second seamless cinematic loop: fabric under sewing foot, hands guiding seam, subtle rack focus, premium slow motion, no logos or text."
public/assets/products/aprons/apron-black-front.webp,products,square,Apron front,3000x3000,"Premium editorial industrial apparel photography for AHM International, an international apparel manufacturing and export company in Karachi, Pakistan. Authentic modern garment-production environment, realistic Pakistani workers where people appear, sophisticated natural lighting, subtle cinematic contrast, highly detailed fabric texture, realistic industrial equipment, premium commercial campaign photography, contemporary global sourcing-company aesthetic, no futuristic machinery, no text, no logos, no distorted anatomy, no staged corporate handshakes, no stock-photo look, consistent color grade across the full website asset library, photorealistic, extremely detailed. Professional black uniform bib apron on neutral warm-cream studio background, full front view, realistic poly-cotton twill, functional pockets, adjustable neck detail, no logo."
public/assets/products/aprons/apron-black-back.webp,products,square,Apron back,3000x3000,"Premium editorial industrial apparel photography for AHM International, an international apparel manufacturing and export company in Karachi, Pakistan. Authentic modern garment-production environment, realistic Pakistani workers where people appear, sophisticated natural lighting, subtle cinematic contrast, highly detailed fabric texture, realistic industrial equipment, premium commercial campaign photography, contemporary global sourcing-company aesthetic, no futuristic machinery, no text, no logos, no distorted anatomy, no staged corporate handshakes, no stock-photo look, consistent color grade across the full website asset library, photorealistic, extremely detailed. Same black uniform bib apron from rear view, ties and construction clearly visible, exact lighting and background match to front image."
